StateWellNumber,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Aquifer,FN_ID
2755401,32.204445,-102.235278,3.276667,Loam,1600,0,2,3,762,1205,1463,30,48.099998,52,15,22.4,26,1.5,2.3,3,4,9,14,0.1,0.14,0.16,44,46,47,28,38,43,9,15,18,0.37,0.37,0,0.5,1,7.4,8,8.4,380.131988,18.02,Dockum,1009
2819201,32.716389,-101.678055,0.1,Loam,1076,1,2,3,670,906,1143,30,31.200001,50,18,23.5,27,2,3.5,4,4,9,14,0.15,0.18,0.19,39,46,48,32,41,46,10,16,19,0.37,0.37,0,0.8,2,7.4,7.6,8.4,479.134003,17.27,Dockum,1346
2819402,32.684445,-101.738889,2.19,Fine sandy loam,1390,1,2,3,792,1097,1463,52,65.599998,80,8,17.299999,20,0.5,0.7,1,14,28,42,0.1,0.13,0.15,38,41,44,20,28,31,4,10,10,0.28,0.28,0,1,2,7.9,8,8.4,470.615997,16.719999,Dockum,1345
2819403,32.686667,-101.748889,2.56,Fine sandy loam,1390,0,0.5,1,792,1097,1555,55,67.199997,85,10,14.9,15,0.5,0.85,1,14,28,42,0.11,0.15,0.16,36,41,48,22,27,28,6,9,9,0.32,0.32,0,0.5,1,6.6,8,8.4,469.425995,16.719999,Dockum,1345
2819407,32.691945,-101.741389,2.57,Fine sandy loam,1350,0,0.5,1,792,1097,1463,52,65.599998,80,8,17.299999,20,0.5,0.7,1,14,28,42,0.1,0.13,0.15,38,41,44,20,28,31,4,10,10,0.28,0.28,0,1,2,7.9,8,8.4,471.063995,16.699999,Dockum,1345
2819504,32.704445,-101.669167,1.6,Clay loam,1060,1,2,3,670,906,1143,25,32.299999,50,18,31.6,35,1.5,2.5,3,4,9,14,0.12,0.16,0.18,42,44,47,31,47,51,12,22,23,0.28,0.28,0,1,2,7.9,8.2,8.4,479.574982,17.27,Dockum,1346
2819505,32.704445,-101.674167,1.695,Clay loam,1125,1,2,3,670,906,1143,25,32.299999,50,18,31.6,35,1.5,2.5,3,4,9,14,0.12,0.16,0.18,42,44,47,31,47,51,12,22,23,0.28,0.28,0,1,2,7.9,8.2,8.4,478.648987,17.27,Dockum,1346
2819604,32.698889,-101.659445,1.6,Clay loam,1100,1,2,3,670,906,1143,25,32.299999,50,18,31.6,35,1.5,2.5,3,4,9,14,0.12,0.16,0.18,42,44,47,31,47,51,12,22,23,0.28,0.28,0,1,2,7.9,8.2,8.4,479.915985,17.27,Dockum,1346
2827601,32.576667,-101.660556,1.8,Clay,1121,1,2,3,670,906,1143,15,21.5,40,28,45,55,0.3,0.7,0.9,0.42,1,14,0.1,0.12,0.14,43,46,52,38,54,62,19,32,37,0.32,0.32,0,0.9,2,7.9,8.2,8.4,474.034973,17.09,Dockum,1252
2828805,32.514167,-101.565278,1.955714,Fine sandy loam,139,0,1,3,792,1097,1524,55,73.099998,85,6,17.1,20,0.5,0.7,1,14,28,42,0.09,0.11,0.15,37,43,46,18,29,33,3,11,13,0.32,0.32,0,0.7,1,6.6,6.9,8.4,473.765991,17.239899,Dockum,1253
2830907,32.516667,-101.255278,1.18,Clay loam,50,0,0.5,2,670,1097,1433,30,41.200001,65,22,29.6,35,0.3,0.46,1,4,9,14,0.09,0.12,0.14,35,38,43,32,39,45,14,20,22,0.28,0.28,0,1,2,7.9,8.2,8.4,510.991974,17.699999,Dockum,1258
2832304,32.593889,-101.001945,0.273333,Fine sandy loam,125,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,539.280884,17.67,Dockum,1308
2838103,32.498056,-101.353056,1.82,Loam,1000,1,1.5,3,823,1128,1433,25,55.599998,70,18,24.9,35,0.1,0.25,0.4,4,9,14,0.09,0.11,0.13,35,40,41,23,31,43,3,11,22,0.24,0.24,0,0.1,1,7.9,8.5,9,490.463989,17.559999,Dockum,1209
2838601,32.4175,-101.278611,0.2,Clay,72,0,0.5,1,335,457,579,0,22.1,0,40,50,60,0,0.25,0.5,0.01,0.21,0.42,0.05,0.06,0.07,0,38,0,45,52.5,60,19,26.5,34,0.24,0.24,2,6,16,7.9,8.5,9,489.675995,17.75,Dockum,1163
2839101,32.466667,-101.229444,2.455,Clay loam,110,0,0.5,1,1036,1219,1615,27,53.900002,70,20,32.5,40,0.1,0.2,0.4,4,9,14,0.07,0.12,0.15,27,32,39,28,38,49,11,18,26,0.2,0.2,0,1,2,7.9,8.2,8.4,505.968994,17.73,Dockum,1211
2839109,32.459723,-101.2375,3.37,Clay loam,210,0,0.5,1,1036,1219,1615,27,53.900002,70,20,32.5,40,0.1,0.2,0.4,4,9,14,0.07,0.12,0.15,27,32,39,28,38,49,11,18,26,0.2,0.2,0,1,2,7.9,8.2,8.4,504.460999,17.73,Dockum,1211
2846801,32.276667,-101.309445,1.635,Sandy clay loam,221,1,2,3,792,1097,1463,30,48.5,70,20,33.599998,40,0.1,0.25,0.5,4,9,14,0.09,0.11,0.13,34,39,42,27,38,48,8,16,23,0.2,0.2,0,1,2,7.9,8.4,9,479.566986,17.779999,Dockum,1069
2846802,32.276389,-101.309445,2.445,Sandy clay loam,175,1,2,3,792,1097,1463,30,48.5,70,20,33.599998,40,0.1,0.25,0.5,4,9,14,0.09,0.11,0.13,34,39,42,27,38,48,8,16,23,0.2,0.2,0,1,2,7.9,8.4,9,479.566986,17.779999,Dockum,1069
2864501,32.046945,-101.080555,0.465,Silt loam,47,1,2,3,610,724,838,0,6.8,0,24,31.5,35,0.1,0.3,0.5,4,9,14,0.12,0.15,0.18,0,40,0,31,35.5,40,13,16.5,20,0.43,0.43,0,1,2,7.9,8.2,8.4,513.368957,17.799999,Dockum,931
2901601,32.938889,-100.898056,0.226667,Fine sandy loam,147,2,10,20,624.799988,701,807.700012,53,63,78,5,12,18,0.1,0.55,1,4,9,14,0.08,0.12,0.15,33,41,46,15,20,28,1,5,9,0.28,0.28,0,0.5,2,7.9,8.2,8.4,536.270996,17.299999,Dockum,1498
2909302,32.858333,-100.898611,0.87,Clay,115,3,15,30,655.299988,746.799988,838.200012,5,15,35,40,50,60,0.5,1.25,2,0.01,0.21,0.42,0.12,0.15,0.17,35,42,46,40,55,60,19,26,31,0.28,0.28,0,1,2,7.4,8,9,540.920959,17.35,Dockum,1451
2909813,32.750833,-100.918889,0.81,Silty clay loam,227,1,2,3,365,701,823,17,35,53,20,28,35,0.25,0.5,0.75,4,9,14,0.1,0.15,0.18,33,38,46,28,34,43,11,16,25,0.43,0.43,0,1,2,7.9,8.2,8.4,543.399963,17.42,Dockum,1403
